IDI_baseline,time_baseline,IDI_tool,time_tool
0.027,117.8845071910182,0.128,23.285883604025003
0.039,118.14202772203134,0.154,24.125174928980414
0.023,117.84292463900056,0.139,30.75337287702132
0.038,117.22622523200698,0.258,16.057976279000286
0.037,116.6904197219992,0.116,44.51372397801606
0.035,116.61339358595433,0.338,42.89758102304768
0.022,117.7564062679885,0.063,16.945147445017938
0.031,117.64901945699239,0.007,17.296957143989857
0.026,117.4593637890066,0.228,15.329735595022794
0.032,117.86760046798736,0.194,15.431655514985323
