500 samples,1000 samples,1500 samples,2000 samples
0.488,0.511,0.452,0.5125
0.478,0.501,0.5066666666666667,0.532
0.468,0.417,0.43066666666666664,0.508
0.46,0.556,0.5573333333333333,0.4375
0.538,0.491,0.5293333333333333,0.5985
0.378,0.533,0.476,0.4835
0.416,0.526,0.564,0.532
0.574,0.506,0.48,0.4565
0.544,0.536,0.5106666666666667,0.5745
0.562,0.465,0.4186666666666667,0.519
0.598,0.46,0.4226666666666667,0.5565
0.388,0.512,0.4693333333333333,0.4385
0.434,0.442,0.5193333333333333,0.4485
0.464,0.516,0.636,0.568
0.51,0.486,0.488,0.532
0.504,0.441,0.49466666666666664,0.333
0.484,0.512,0.498,0.49
0.576,0.484,0.5473333333333333,0.513
0.518,0.496,0.34933333333333333,0.5705
0.55,0.568,0.416,0.5095
0.412,0.55,0.5226666666666666,0.4695
0.358,0.502,0.49333333333333335,0.478
0.5,0.499,0.5086666666666667,0.5155
0.34,0.459,0.4686666666666667,0.4785
0.428,0.536,0.5346666666666666,0.493
0.502,0.521,0.458,0.553
0.458,0.485,0.5906666666666667,0.459
0.506,0.481,0.6173333333333333,0.536
0.42,0.511,0.544,0.507
0.442,0.543,0.536,0.4905
0.588,0.51,0.436,0.5145
0.534,0.502,0.558,0.476
0.438,0.502,0.51,0.4965
0.506,0.525,0.45466666666666666,0.502
0.46,0.548,0.5046666666666667,0.5315
0.49,0.534,0.45866666666666667,0.2985
0.488,0.454,0.542,0.4985
0.588,0.456,0.4713333333333333,0.574
0.462,0.482,0.366,0.485
0.496,0.484,0.4886666666666667,0.511
0.478,0.516,0.454,0.503
0.566,0.501,0.496,0.529
0.52,0.449,0.5686666666666667,0.5225
0.544,0.499,0.4093333333333333,0.503
0.552,0.45,0.5066666666666667,0.416
0.564,0.51,0.5686666666666667,0.4105
0.55,0.494,0.43466666666666665,0.496
0.542,0.53,0.5233333333333333,0.4265
0.454,0.504,0.44866666666666666,0.468
0.492,0.471,0.42533333333333334,0.4215
0.486,0.507,0.5506666666666666,0.5235
0.452,0.462,0.45066666666666666,0.568
0.4,0.396,0.408,0.484
0.534,0.572,0.536,0.4925
0.5,0.485,0.5106666666666667,0.5435
0.546,0.44,0.5673333333333334,0.5295
0.512,0.431,0.498,0.508
0.494,0.529,0.45866666666666667,0.5395
0.416,0.518,0.5626666666666666,0.4945
0.522,0.496,0.448,0.4215
0.384,0.512,0.5153333333333333,0.4765
0.522,0.449,0.34,0.518
0.526,0.412,0.522,0.451
0.528,0.482,0.542,0.4905
0.522,0.491,0.45066666666666666,0.426
0.532,0.463,0.47333333333333333,0.4575
0.472,0.492,0.4673333333333333,0.506
0.562,0.543,0.5573333333333333,0.268
0.572,0.524,0.5706666666666667,0.521
0.528,0.442,0.44733333333333336,0.487
0.49,0.539,0.5226666666666666,0.5285
0.44,0.56,0.49333333333333335,0.522
0.466,0.485,0.496,0.4285
0.534,0.472,0.45666666666666667,0.4655
0.436,0.501,0.546,0.547
0.536,0.489,0.5086666666666667,0.534
0.49,0.507,0.49066666666666664,0.463
0.538,0.491,0.5666666666666667,0.48
0.454,0.495,0.506,0.4805
0.456,0.477,0.5166666666666667,0.4745
0.512,0.484,0.636,0.598
0.428,0.476,0.4766666666666667,0.535
0.514,0.472,0.522,0.4805
0.544,0.574,0.424,0.4345
0.522,0.484,0.486,0.531
0.464,0.42,0.5846666666666667,0.4785
0.488,0.49,0.42933333333333334,0.5625
0.508,0.516,0.554,0.494
0.45,0.57,0.5013333333333333,0.5735
0.57,0.558,0.434,0.433
0.574,0.54,0.494,0.481
0.498,0.47,0.42533333333333334,0.464
0.544,0.549,0.514,0.4505
0.408,0.46,0.5193333333333333,0.422
0.48,0.535,0.464,0.4495
0.522,0.494,0.49133333333333334,0.3585
0.456,0.491,0.44533333333333336,0.459
0.56,0.611,0.578,0.473
0.54,0.548,0.5166666666666667,0.4935
0.506,0.448,0.554,0.4735
