100 samples,150 samples,200 samples,250 samples
0.488,0.504,0.471,0.429
0.489,0.591,0.528,0.487
0.551,0.303,0.413,0.498
0.515,0.49,0.514,0.544
0.458,0.469,0.534,0.526
0.564,0.476,0.42,0.459
0.518,0.387,0.534,0.583
0.583,0.533,0.483,0.525
0.55,0.549,0.43,0.429
0.455,0.517,0.46,0.454
0.499,0.505,0.539,0.636
0.521,0.567,0.511,0.47
0.572,0.492,0.481,0.552
0.503,0.453,0.535,0.552
0.474,0.617,0.411,0.52
0.538,0.607,0.499,0.365
0.563,0.506,0.478,0.479
0.505,0.496,0.539,0.537
0.583,0.536,0.569,0.505
0.514,0.496,0.392,0.507
0.574,0.452,0.554,0.534
0.45,0.468,0.474,0.47
0.519,0.442,0.451,0.469
0.467,0.493,0.559,0.56
0.462,0.578,0.463,0.562
0.488,0.534,0.43,0.474
0.532,0.488,0.472,0.493
0.455,0.494,0.488,0.455
0.484,0.549,0.453,0.492
0.547,0.59,0.49,0.533
0.566,0.467,0.585,0.458
0.534,0.579,0.45,0.491
0.512,0.548,0.521,0.527
0.53,0.548,0.481,0.524
0.452,0.502,0.63,0.497
0.508,0.491,0.422,0.464
0.578,0.399,0.509,0.513
0.384,0.54,0.454,0.533
0.486,0.404,0.51,0.542
0.449,0.467,0.581,0.459
0.583,0.464,0.532,0.514
0.551,0.537,0.542,0.477
0.494,0.512,0.558,0.531
0.496,0.557,0.548,0.434
0.538,0.486,0.408,0.507
0.437,0.427,0.629,0.528
0.452,0.541,0.484,0.516
0.601,0.467,0.339,0.31
0.565,0.481,0.43,0.463
0.597,0.506,0.546,0.505
0.425,0.482,0.557,0.543
0.565,0.523,0.429,0.599
0.481,0.474,0.52,0.51
0.526,0.525,0.547,0.498
0.54,0.618,0.519,0.484
0.601,0.458,0.535,0.51
0.511,0.534,0.523,0.518
0.533,0.535,0.523,0.586
0.437,0.6,0.509,0.531
0.517,0.541,0.552,0.491
0.612,0.46,0.513,0.549
0.511,0.333,0.602,0.418
0.476,0.448,0.371,0.485
0.606,0.463,0.498,0.515
0.469,0.446,0.499,0.538
0.496,0.449,0.508,0.466
0.551,0.542,0.575,0.35
0.455,0.4,0.494,0.492
0.507,0.438,0.526,0.485
0.62,0.524,0.501,0.479
0.554,0.506,0.588,0.415
0.513,0.427,0.387,0.41
0.535,0.581,0.597,0.487
0.476,0.472,0.49,0.534
0.612,0.574,0.561,0.516
0.487,0.363,0.453,0.472
0.512,0.556,0.51,0.485
0.439,0.538,0.431,0.487
0.545,0.531,0.444,0.546
0.539,0.455,0.545,0.564
0.624,0.538,0.542,0.496
0.466,0.46,0.521,0.513
0.46,0.393,0.476,0.523
0.459,0.486,0.578,0.471
0.453,0.488,0.481,0.496
0.501,0.498,0.55,0.482
0.581,0.526,0.554,0.493
0.653,0.427,0.526,0.478
0.58,0.547,0.459,0.531
0.448,0.617,0.496,0.396
0.558,0.504,0.549,0.531
0.467,0.48,0.549,0.419
0.414,0.496,0.522,0.461
0.543,0.573,0.448,0.508
0.466,0.47,0.438,0.535
0.476,0.514,0.464,0.516
0.449,0.472,0.498,0.487
0.491,0.496,0.53,0.483
0.518,0.471,0.345,0.501
0.542,0.459,0.316,0.496
